Id,WnvPresent
1,0.49562374
2,0.49562374
3,0.49567643
4,0.49562374
5,0.49562374
6,0.49562374
7,0.49562374
8,0.49562374
9,0.49550802
10,0.49550802
11,0.4955607
12,0.49550802
13,0.49550802
14,0.49550802
15,0.49550802
16,0.49550802
17,0.49562374
18,0.49562374
19,0.49567643
20,0.49562374
21,0.49562374
22,0.49562374
23,0.49562374
24,0.49562374
25,0.49550802
26,0.49550802
27,0.4955607
28,0.49550802
29,0.49550802
30,0.49550802
31,0.49550802
32,0.49550802
33,0.49550802
34,0.49550802
35,0.4955607
36,0.49550802
37,0.49550802
38,0.49550802
39,0.49550802
40,0.49550802
41,0.49550802
42,0.49550802
43,0.4955607
44,0.49550802
45,0.49550802
46,0.49550802
47,0.49550802
48,0.49550802
49,0.49550802
50,0.49550802
51,0.4955607
52,0.49550802
53,0.49550802
54,0.49550802
55,0.49550802
56,0.49550802
57,0.49550802
58,0.49550802
59,0.4955607
60,0.49550802
61,0.49550802
62,0.49550802
63,0.49550802
64,0.49550802
65,0.49550802
66,0.49550802
67,0.4955607
68,0.49550802
69,0.49550802
70,0.49550802
71,0.49550802
72,0.49550802
73,0.49550802
74,0.49550802
75,0.4955607
76,0.49550802
77,0.49550802
78,0.49550802
79,0.49550802
80,0.49550802
81,0.49550802
82,0.49550802
83,0.4955607
84,0.49550802
85,0.49550802
86,0.49550802
87,0.49550802
88,0.49550802
89,0.49550802
90,0.49550802
91,0.4955607
92,0.49550802
93,0.49550802
94,0.49550802
95,0.49550802
96,0.49550802
97,0.49550802
98,0.49550802
99,0.4955607
100,0.49550802
101,0.49550802
102,0.49550802
103,0.49550802
104,0.49550802
105,0.49550802
106,0.49550802
107,0.4955607
108,0.49550802
109,0.49550802
110,0.49550802
111,0.49550802
112,0.49550802
113,0.49562374
114,0.49562374
115,0.49567643
116,0.49562374
117,0.49562374
118,0.49562374
119,0.49562374
120,0.49562374
121,0.49550802
122,0.49550802
123,0.4955607
124,0.49550802
125,0.49550802
126,0.49550802
127,0.49550802
128,0.49550802
129,0.49550802
130,0.49550802
131,0.4955607
132,0.49550802
133,0.49550802
134,0.49550802
135,0.49550802
136,0.49550802
137,0.49550802
138,0.49550802
139,0.4955607
140,0.49550802
141,0.49550802
142,0.49550802
143,0.49550802
144,0.49550802
145,0.49562374
146,0.49562374
147,0.49567643
148,0.49562374
149,0.49562374
150,0.49562374
151,0.49562374
152,0.49562374
